job_text,label
"We are looking for a Python developer intern with knowledge of Django, REST APIs and SQL. The candidate will work with our development team on backend systems.",0
"Software engineering internship at ABC Technologies. Candidates must know Java, data structures and basic web development.",0
Marketing internship opportunity. Assist the marketing team in campaign planning and social media management.,0
"Internship for data science students. Knowledge of Python, Pandas and machine learning basics required.",0
"Frontend developer internship requiring knowledge of HTML, CSS, JavaScript and React.",0
Immediate hiring for work from home job. Earn ₹5000 per day without any experience. Contact via Telegram.,1
Congratulations! You are selected for our internship program. To confirm your seat pay ₹2500 registration fee.,1
We are offering guaranteed placement internship. Send your bank details and processing fee.,1
Earn money online by completing simple tasks. No interview required. Limited seats available.,1
You have been selected for a job. Kindly pay security deposit to receive the official offer letter.,1
Backend developer intern required with experience in Python and Flask. Work with APIs and databases.,0
Machine learning internship where students will build predictive models using Python and scikit-learn.,0
Internship opportunity in cybersecurity team assisting with vulnerability analysis and reporting.,0
Selected candidates will work on building data pipelines and performing data analysis tasks.,0
Internship program in software testing including automation and bug tracking.,0
Congratulations candidate! You are selected for Google internship. Pay ₹3000 verification fee immediately.,1
Our HR team has approved your application. Send ₹1500 registration charge to start your internship.,1
Work from home opportunity earning ₹10000 weekly with no interview.,1
Selected candidates must submit a processing fee before receiving the offer letter.,1
You are selected for international internship program. Pay training fee to confirm position.,1
"Full stack development internship working with Node.js, MongoDB and React.",0
AI internship focused on natural language processing and deep learning projects.,0
Cloud computing internship working with AWS services and deployment pipelines.,0
Business analytics internship analyzing company sales and performance data.,0
DevOps internship assisting with CI/CD pipelines and container deployment.,0
"Dear candidate, your profile is shortlisted. Send registration amount to HR WhatsApp number.",1
Earn ₹7000 per day by completing online tasks. No experience needed.,1
Selected applicants must pay internship enrollment fee immediately.,1
You are hired without interview. Send payment to confirm job.,1
Our HR will guide you after you complete the verification payment.,1
