text,fraudulent
registration fee,1
processing fee,1
training fee,1
security deposit,1
joining fee,1
certificate fee,1
payment required,1
pay before joining,1
course fee,1
internship fee,1
refundable deposit,1
pay to start,1
pay to join,1
deposit required,1
mandatory training payment,1
application fee,1
enrollment fee,1
urgent hiring,1
hiring immediately,1
limited seats,1
limited internship slots,1
apply immediately,1
instant joining,1
quick hiring,1
urgent requirement,1
last date apply,1
final chance,1
work from home,1
easy online job,1
data entry job,1
typing job,1
simple copy paste job,1
online earning job,1
part time online job,1
earn money fast,1
quick income job,1
guaranteed income,1
earn daily,1
earn per day,1
earn per week,1
earn without experience,1
high salary job,1
salary up to 50000,1
instant payment,1
weekly payment,1
daily payment,1
no experience required,1
no interview job,1
direct selection,1
guaranteed placement,1
100 percent job guarantee,1
assured internship,1
certificate guaranteed,1
paid certificate program,1
internship with certificate,1
international internship certificate,1
government approved certificate,1
training plus internship,1
internship cum training,1
contact on whatsapp,1
message on whatsapp,1
send resume on whatsapp,1
telegram recruiter,1
contact on telegram,1
dm for job,1
private recruiter,1
unknown company recruiter,1
gmail recruiter,1
yahoo mail recruiter,1
free laptop job,1
free mobile job,1
easy home job,1
simple online work,1
work anytime,1
flexible earning job,1
instant approval job,1
fast selection process,1
direct joining,1
pay and start job,1
training mandatory fee,1
certificate after payment,1
guaranteed internship offer,1
limited opportunity,1
special internship program,1
quick earning opportunity,1
online typing project,1
easy data entry project,1
work and earn program,1
premium internship program,1
registration required,1
payment confirmation required,1
